Sequence,Mmenonic ,Job Title,Experience Level,Minimum Educational Degree,Job Role,Work Model,Location,Compensation,Company,Keywords Original,Keywords Processed,Soft Skills,Technical Skills
1,HPC-Infra-Architect-EU,HPC Infrastructure Solutions Architect -- GPU Platforms,Senior,Bachelor's degree,HPC Solutions Architect,Remote,Europe,$250,Not mentioned,"Slurm, RDMA, InfiniBand, NVLink, NVSwitch, Kubernetes, Terraform, Helm, GPU platforms, Linux, networking, storage","Slurm, RDMA, InfiniBand, NVLink, Kubernetes, Terraform, Helm, Linux",None explicitly mentioned,"Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Automation, Containerization & Orchestration, Performance Optimization"
2,HPC-PBS-Scheduler-Engineer,HPC Infrastructure & Scheduler Engineer (PBS Professional),Senior,Bachelor's degree,HPC Systems Engineer,Remote,Europe,$0,Not mentioned,"PBS Professional, Torque, Slurm, Kubernetes, InfiniBand, Lustre, NVIDIA stack, MIG, MPS, Ansible, Puppet, CI/CD, AWS, Azure, GCP, Python, Bash, Go, Rust, MPI, OpenMPI, MPICH, STIGs, NIST, LDAP, Kerberos, RBAC, APIs","PBS, Torque, Slurm, Kubernetes, InfiniBand, Lustre, MIG, MPS, Ansible, Puppet, Python, Bash, Go, Rust, MPI",None explicitly mentioned,"Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Automation, Security & Compliance, Performance Optimization"
5,HPC-SysEngineer-3-7yrs,HPC Systems Engineer (3-7 years),Mid-level,Not mentioned,HPC Systems Engineer,Not mentioned,Not mentioned,$0,Not mentioned,"Slurm, PBS, Lustre, NFS, GPFS, InfiniBand, MPI, OpenMP, Python, Bash, AWS ParallelCluster, PCS, Linux administration, HPC architecture, performance tuning","Slurm, PBS, Lustre, NFS, GPFS, InfiniBand, MPI, OpenMP, Python, Bash",None explicitly mentioned,"Cluster Administration, Storage & Data Management, Networking & Infrastructure, Performance Optimization"
6,Senior-HPC-Engineer-Riyadh,Senior HPC Engineer (Infrastructure),Lead,Not mentioned,HPC Systems Engineer,Onsite,Asia,$0,Not mentioned,"NVIDIA AI Stack, BCM, GPU Operator, NIMs, Blueprints, Kubernetes, CKA, Slurm, Linux, RHEL, Ubuntu, CI/CD, RHCE","BCM, NIMs, Kubernetes, Slurm, Linux",None explicitly mentioned,"Cluster Administration, GPU & Accelerated Computing, Containerization & Orchestration, Automation"
3,Lead-HPC-SysAdmin-SLURM,Lead HPC Systems Administrator,Lead,Bachelor's degree,HPC Technical Leader,Not mentioned,Not mentioned,$0,Not mentioned,"Slurm, InfiniBand, TCP/IP, Weka IO, Lustre, Puppet, GPU scheduling, Bash, Python, Ruby","Slurm, InfiniBand, Weka, Lustre, Puppet, Bash, Python, Ruby","Communication, Teamwork, Problem-solving, Leadership, Self-motivation, Mentorship, Stakeholder Management, Time Management","System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Automation, Monitoring & Observability, Project & Team Leadership, Performance Optimization"
7,HPC-Engineer-Harvard-Med,HPC Engineer - Harvard Medical School,Senior,Bachelor's degree,HPC Systems Engineer,Not mentioned,North America,$0,Harvard Medical School,"Linux, Ansible, Slurm, NVIDIA Base Command Manager (BCM), GPU-accelerated computing, Infrastructure as Code (IaC)","Linux, Ansible, Slurm, BCM",None explicitly mentioned,"Cluster Administration, GPU & Accelerated Computing, Automation"
8,HPC-Engineer-Singapore-5yrs,High Performance Computing (HPC) Engineer - Singapore,Senior,Not mentioned,HPC Systems Engineer,Hybrid,Asia,$0,Not mentioned,"PBS Professional, Slurm, Red Hat Linux, Bright Cluster Manager, xCAT, Puppet, InfiniBand, Ethernet, NVIDIA GPU, CUDA, ROCm, OpenCL, Docker, Kubernetes, Singularity, MLFlow, Kubeflow, Python, Bash, Terraform, CI/CD, AWS, Azure, GCP","PBS, Slurm, Linux, BCM, xCAT, Puppet, InfiniBand, Ethernet, CUDA, ROCm, OpenCL, Docker, Kubernetes, Apptainer, MLFlow, Kubeflow, Python, Bash, Terraform",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Containerization & Orchestration, Automation, Cloud Computing, Monitoring & Observability, Performance Optimization"
10,Senior-HPC-GPU-Infra-Sciforium,Senior HPC & GPU Infrastructure Engineer - Sciforium,Senior,Bachelor's degree,HPC Systems Engineer,Hybrid,North America,$0,Sciforium,"NVIDIA, AMD, CUDA, ROCm, Kubernetes, Slurm, RDMA, NVLink, GPU cluster, Linux, AI/ML infrastructure, HPC environments","CUDA, ROCm, Kubernetes, Slurm, RDMA, NVLink, Linux",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Networking & Infrastructure, Containerization & Orchestration, Performance Optimization"
12,HPC-Engineer-Remote-1yr,HPC Engineer - Remote (1 Year Experience),Entry-level,Not mentioned,HPC Systems Engineer,Remote,Global,$0,Not mentioned,"Slurm, RHEL, CentOS, Ubuntu, Bash, Python, GPU clusters, Ansible, Linux system administration, HPC cluster troubleshooting, performance monitoring, networking, storage","Slurm, Linux, Bash, Python, Ansible",None explicitly mentioned,"System Administration, Cluster Administration, GPU & Accelerated Computing, Storage & Data Management, Networking & Infrastructure, Automation, Monitoring & Observability, Performance Optimization"
9,HPC-Engineer-Bangalore-4-6yrs,HPC Engineer (4-6 Years) - Bangalore,Mid-level,Not mentioned,HPC Software Engineer,Onsite,Asia,$0,Not mentioned,"HPC architecture, CUDA, Linux/UNIX, Shell, Python, Perl, MPI, OpenMP, Intel compilers, GNU compilers, x86_64, C, C++, Fortran, benchmarking","CUDA, Linux, Bash, Python, Perl, MPI, OpenMP, C, C++, Fortran",None explicitly mentioned,"GPU & Accelerated Computing, Coding & Software Development, Research Computing & Scientific Workflow Support, Performance Optimization"
